month,bu,tier,site,calls_handled,offers_present,offers_extended,offers_accepted,calls
2026-02,CPS,Tier A,Location 1,187,Offer A,,,102
2026-02,CPS,Tier A,Location 1,254,Offer A,Offer A,Offer A,12
2026-02,CPS,Tier A,Location 1,96,Offer A|Offer B|Offer C|Offer D|Offer E|Offer F,Offer B|Offer C|Offer D|Offer E,Offer B|Offer D,45
2026-02,CPS,Tier A,Location 1,193,Offer A|Offer B|Offer C|Offer D|Offer E|Offer F|Offer I,Offer E|Offer F,Offer F,50
2026-02,CPS,Tier A,Location 1,97,Offer A|Offer B|Offer C|Offer D|Offer E|Offer G|Offer H,Offer A|Offer H,Offer A|Offer H,13
2026-02,CPS,Tier A,Location 1,195,Offer A|Offer B|Offer C|Offer E|Offer F|Offer I|Offer J,Offer B|Offer C|Offer E|Offer I,,13
2026-02,CPS,Tier A,Location 1,257,Offer A|Offer B|Offer C|Offer F|Offer G,Offer A|Offer C|Offer F|Offer G,Offer A|Offer C|Offer F|Offer G,2
2026-02,CPS,Tier A,Location 1,298,Offer A|Offer B|Offer C|Offer F|Offer H|Offer I|Offer J,Offer A|Offer B|Offer C|Offer F|Offer I|Offer J,,48
2026-02,CPS,Tier A,Location 1,390,Offer A|Offer B|Offer C|Offer F|Offer J,Offer A|Offer B|Offer C|Offer F|Offer J,Offer B|Offer C|Offer F|Offer J,29
2026-02,CPS,Tier A,Location 1,227,Offer A|Offer B|Offer C|Offer G|Offer I|Offer J,Offer A|Offer C,Offer C,24
2026-02,CPS,Tier A,Location 1,227,Offer A|Offer B|Offer D|Offer E|Offer F|Offer J,Offer A|Offer B|Offer D|Offer E|Offer F|Offer J,Offer E,49
2026-02,CPS,Tier A,Location 1,193,Offer A|Offer B|Offer D|Offer F|Offer G,Offer D|Offer F|Offer G,Offer F,37
2026-02,CPS,Tier A,Location 1,263,Offer A|Offer B|Offer D|Offer F|Offer I|Offer J,Offer B|Offer D|Offer F|Offer I,Offer I,74
2026-02,CPS,Tier A,Location 1,364,Offer A|Offer B|Offer E|Offer F|Offer H|Offer I|Offer J,,,14
2026-02,CPS,Tier A,Location 1,187,Offer A|Offer B|Offer E|Offer F|Offer H|Offer I|Offer J,Offer A|Offer B|Offer E|Offer F|Offer H|Offer I|Offer J,Offer A|Offer B|Offer E|Offer F|Offer H|Offer I|Offer J,41
2026-02,CPS,Tier A,Location 1,413,Offer A|Offer B|Offer E|Offer G|Offer H|Offer I,Offer B,Offer B,413
2026-02,CPS,Tier A,Location 1,187,Offer A|Offer B|Offer E|Offer I|Offer J,Offer A|Offer J,Offer A|Offer J,7
2026-02,CPS,Tier A,Location 1,195,Offer A|Offer B|Offer H|Offer I,Offer A|Offer B|Offer H,Offer B,98
2026-02,CPS,Tier A,Location 1,364,Offer A|Offer B|Offer I,Offer A|Offer B|Offer I,Offer A|Offer B|Offer I,70
2026-02,CPS,Tier A,Location 1,376,Offer A|Offer B|Offer I|Offer J,Offer A|Offer B|Offer I|Offer J,Offer A|Offer B|Offer I|Offer J,76
2026-02,CPS,Tier A,Location 1,448,Offer A|Offer C|Offer D|Offer E|Offer F|Offer I|Offer J,,,448
2026-02,CPS,Tier A,Location 1,390,Offer A|Offer C|Offer D|Offer F|Offer I,Offer C|Offer D|Offer I,Offer C,116
2026-02,CPS,Tier A,Location 1,496,Offer A|Offer C|Offer E|Offer F|Offer I|Offer J,Offer A|Offer C|Offer F|Offer I|Offer J,Offer J,496
