Mth,BU,Tier,Site,Handled,Pres,Ext,Acc,Count
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Retention,,,13
202501,Broadband,Bronze,Bangalore,4524,Bundle-Welcome|Loyalty-Special,,,50
202501,Broadband,Bronze,Bangalore,4524,Discount-Special,Discount-Special,,31
202501,Broadband,Bronze,Bangalore,4524,Discount-Upgrade,Discount-Upgrade,,21
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Cashback-Retention,,,31
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Bundle-Upgrade|Loyalty-Retention,,,26
202501,Broadband,Bronze,Bangalore,4524,Bundle-Retention,,,37
202501,Broadband,Bronze,Bangalore,4524,Cashback-Promo|Discount-Special,,,49
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo|Loyalty-Upgrade,,,46
202501,Broadband,Bronze,Bangalore,4524,Bundle-Upgrade,Bundle-Upgrade,,5
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Special|Bundle-Promo,,,9
202501,Broadband,Bronze,Bangalore,4524,Bundle-Retention|Cashback-Promo,,,43
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Cashback-Retention,,,34
202501,Broadband,Bronze,Bangalore,4524,Bundle-Upgrade|Cashback-Retention|Cashback-Promo,,,47
202501,Broadband,Bronze,Bangalore,4524,Discount-Special|Cashback-Retention|Cashback-Upgrade,,,5
202501,Broadband,Bronze,Bangalore,4524,Discount-Upgrade,,,18
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Discount-Special,,,12
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Discount-Promo|Discount-Retention,,,34
202501,Broadband,Bronze,Bangalore,4524,Discount-Welcome|Bundle-Retention,,,34
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special,,,45
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Cashback-Special,,,20
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Speed-Boost-Retention,Speed-Boost-Retention|Speed-Boost-Special,,12
202501,Broadband,Bronze,Bangalore,4524,Discount-Special,Discount-Special,Discount-Special,27
202501,Broadband,Bronze,Bangalore,4524,Discount-Welcome,,,37
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Loyalty-Welcome|Cashback-Promo,Cashback-Promo|Loyalty-Welcome|Cashback-Special,Cashback-Promo,33
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Cashback-Promo|Loyalty-Promo,Speed-Boost-Upgrade|Loyalty-Promo|Cashback-Promo,,43
202501,Broadband,Bronze,Bangalore,4524,Bundle-Welcome|Cashback-Welcome|Cashback-Promo,,,9
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Speed-Boost-Promo|Bundle-Promo,,,13
202501,Broadband,Bronze,Bangalore,4524,Cashback-Promo,Cashback-Promo,,15
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo,,,30
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Loyalty-Retention,,,23
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Loyalty-Upgrade,Speed-Boost-Promo|Loyalty-Upgrade,,23
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Welcome,,,31
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade,,,16
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Retention,,,8
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo|Speed-Boost-Upgrade|Loyalty-Upgrade,,,38
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Upgrade,,,46
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Upgrade,,,32
202501,Broadband,Bronze,Bangalore,4524,Cashback-Promo|Cashback-Upgrade,Cashback-Upgrade,Cashback-Upgrade,9
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Retention,Loyalty-Retention,,20
202501,Broadband,Bronze,Bangalore,4524,Discount-Special,Discount-Special,Discount-Special,8
202501,Broadband,Bronze,Bangalore,4524,Bundle-Special|Loyalty-Special,,,41
202501,Broadband,Bronze,Bangalore,4524,Bundle-Welcome|Cashback-Upgrade,Cashback-Upgrade,Cashback-Upgrade,10
202501,Broadband,Bronze,Bangalore,4524,Bundle-Welcome|Speed-Boost-Promo|Discount-Retention,Speed-Boost-Promo|Discount-Retention|Bundle-Welcome,Discount-Retention|Bundle-Welcome|Speed-Boost-Promo,8
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Retention|Discount-Special,,,31
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Discount-Welcome,Discount-Welcome,,38
202501,Broadband,Bronze,Bangalore,4524,Discount-Retention,,,8
202501,Broadband,Bronze,Bangalore,4524,Bundle-Upgrade|Discount-Welcome|Cashback-Promo,Discount-Welcome|Bundle-Upgrade|Cashback-Promo,Cashback-Promo|Bundle-Upgrade,21
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Cashback-Welcome,Speed-Boost-Upgrade|Cashback-Welcome,,27
202501,Broadband,Bronze,Bangalore,4524,Cashback-Welcome,,,34
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Speed-Boost-Promo|Bundle-Welcome,,,18
202501,Broadband,Bronze,Bangalore,4524,Cashback-Special|Loyalty-Special|Bundle-Retention,,,47
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Discount-Welcome|Cashback-Retention,Cashback-Retention|Discount-Welcome,,14
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Promo|Speed-Boost-Welcome|Discount-Upgrade,Discount-Upgrade,,28
202501,Broadband,Bronze,Bangalore,4524,Bundle-Welcome|Loyalty-Special,Loyalty-Special|Bundle-Welcome,,35
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Special|Bundle-Retention,Bundle-Retention,,40
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Welcome,,,18
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Speed-Boost-Upgrade|Speed-Boost-Retention,Speed-Boost-Special|Speed-Boost-Upgrade|Speed-Boost-Retention,,36
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Retention|Discount-Special,Loyalty-Retention|Discount-Special,,27
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Special|Loyalty-Special|Cashback-Promo,Loyalty-Special|Cashback-Promo,,13
202501,Broadband,Bronze,Bangalore,4524,Discount-Welcome,,,39
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Upgrade|Discount-Upgrade|Loyalty-Welcome,,,9
202501,Broadband,Bronze,Bangalore,4524,Bundle-Upgrade|Bundle-Retention|Loyalty-Upgrade,Bundle-Retention,,8
202501,Broadband,Bronze,Bangalore,4524,Discount-Retention,,,25
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo,,,47
202501,Broadband,Bronze,Bangalore,4524,Bundle-Welcome|Cashback-Welcome,Cashback-Welcome,,12
202501,Broadband,Bronze,Bangalore,4524,Bundle-Welcome,,,39
202501,Broadband,Bronze,Bangalore,4524,Bundle-Welcome|Loyalty-Special|Loyalty-Welcome,Bundle-Welcome,,19
202501,Broadband,Bronze,Bangalore,4524,Discount-Promo|Bundle-Upgrade,,,20
202501,Broadband,Bronze,Bangalore,4524,Speed-Boost-Promo|Bundle-Promo|Speed-Boost-Welcome,,,42
202501,Broadband,Bronze,Bangalore,4524,Discount-Welcome|Cashback-Welcome,,,5
202501,Broadband,Bronze,Bangalore,4524,Loyalty-Welcome,Loyalty-Welcome,,14
202501,Broadband,Bronze,Bangalore,4524,Discount-Welcome,,,9
202501,Broadband,Bronze,Bangalore,4524,Discount-Special,,,10
202501,Broadband,Bronze,Bangalore,4524,Bundle-Upgrade|Cashback-Upgrade,,,14
