month,bu,tier,site,calls_handled,offers_present,offers_extended,offers_accepted,calls
2026-01,CPS,Tier A,Location 1,1000,Type A - Product A|Type A - Product B|Type A - Product C|Type B - Product B|Type B - Product G,Type A - Product A|Type A - Product C|Type B - Product B|Type B - Product G,Type A - Product A|Type A - Product C|Type B - Product B|Type B - Product G,5
2026-01,CPS,Tier A,Location 1,1000,Type A - Product A|Type B - Product A|Type B - Product H|Type D - Product E,Type A - Product A|Type D - Product E,Type A - Product A,527
2026-01,CPS,Tier A,Location 1,3205,Type A - Product C|Type D - Product D|Type E - Product D,Type E - Product D,,838
2026-01,CPS,Tier A,Location 1,3205,Type A - Product D|Type A - Product E|Type B - Product B|Type C - Product H|Type E - Product B,Type A - Product D|Type A - Product E|Type B - Product B|Type C - Product H|Type E - Product B,Type C - Product H,1052
2026-01,CPS,Tier A,Location 1,3205,Type A - Product H|Type B - Product E|Type B - Product F|Type D - Product G|Type E - Product H,Type A - Product H|Type B - Product E|Type B - Product F|Type D - Product G,Type A - Product H|Type B - Product E|Type B - Product F,884
2026-01,CPS,Tier A,Location 1,2670,Type B - Product B|Type B - Product E|Type B - Product F|Type D - Product F|Type E - Product B,Type B - Product B|Type E - Product B,Type B - Product B|Type E - Product B,591
2026-01,CPS,Tier A,Location 1,737,Type B - Product D|Type C - Product G|Type D - Product B|Type D - Product D|Type E - Product E,Type E - Product E,,61
2026-01,CPS,Tier A,Location 1,1000,Type B - Product G|Type E - Product E,Type E - Product E,,126
2026-01,CPS,Tier A,Location 1,2670,Type D - Product A|Type D - Product G|Type E - Product G,Type D - Product G,,830
2026-01,CPS,Tier A,Location 1,3205,Type D - Product D,,,431
2026-01,CPS,Tier A,Location 1,2670,Type D - Product E,Type D - Product E,Type D - Product E,1249
2026-01,CPS,Tier A,Location 1,737,Type D - Product H|Type E - Product B|Type E - Product G,Type D - Product H,Type D - Product H,676
2026-01,CPS,Tier A,Location 1,1000,Type E - Product A,Type E - Product A,,342
2026-01,CPS,Tier A,Location 2,1801,Type A - Product A|Type C - Product B|Type D - Product C|Type E - Product D,Type A - Product A,Type A - Product A,245
2026-01,CPS,Tier A,Location 2,2594,Type A - Product B|Type A - Product D|Type A - Product E|Type B - Product B|Type E - Product C|Type E - Product H,Type B - Product B,Type B - Product B,423
2026-01,CPS,Tier A,Location 2,2594,Type A - Product B|Type A - Product H|Type B - Product D|Type C - Product F|Type D - Product D,Type A - Product B|Type A - Product H|Type B - Product D|Type D - Product D,Type A - Product B|Type B - Product D,857
2026-01,CPS,Tier A,Location 2,853,Type A - Product C|Type B - Product F|Type E - Product A,Type A - Product C|Type B - Product F|Type E - Product A,Type A - Product C|Type B - Product F|Type E - Product A,19
2026-01,CPS,Tier A,Location 2,853,Type A - Product C|Type C - Product A|Type D - Product D,Type C - Product A|Type D - Product D,Type C - Product A,658
2026-01,CPS,Tier A,Location 2,853,Type A - Product F|Type A - Product G|Type B - Product B|Type B - Product D|Type E - Product A|Type E - Product C,Type B - Product B|Type E - Product A,,30
2026-01,CPS,Tier A,Location 2,2594,Type A - Product G|Type B - Product E|Type E - Product B,Type A - Product G|Type B - Product E,Type A - Product G,712
2026-01,CPS,Tier A,Location 2,1801,Type A - Product G|Type C - Product B|Type C - Product E|Type C - Product H|Type E - Product E,,,221
2026-01,CPS,Tier A,Location 2,1801,Type A - Product H|Type B - Product A|Type C - Product E,,,377
2026-01,CPS,Tier A,Location 2,853,Type A - Product H|Type C - Product D,,,146
2026-01,CPS,Tier A,Location 2,1801,Type A - Product H|Type D - Product C,Type A - Product H|Type D - Product C,,624
